textid	text	daily_dose	dose_number	dose_unit	dose_frequency	dose_interval	choice_of_dose	dose_max_average	change_dose	dose_duration
1	"TAKE ONE DAILY"	1	1	""	1	1	0	0	0	0
2	"AS DIRECTED"	0	0	""	0	0	0	0	0	0
3	"ONE EVERY DAY"	1	1	""	1	1	0	0	0	0
4	"ONE TWICE A DAY"	2	1	""	2	1	0	0	0	0
5	"1 EVERY DAY"	1	1	""	1	1	0	0	0	0
6	"ONE THREE TIMES A DAY"	3	1	""	3	1	0	0	0	0
7	"TAKE ONE EACH MORNING"	1	1	""	1	1	0	0	0	0
8	"ONE EVERY MORNING"	1	1	""	1	1	0	0	0	0
9	"TWICE A DAY"	2	0	""	2	1	0	0	0	0
10	"TAKE ONE AT NIGHT"	1	1	""	1	1	0	0	0	0
11	"EVERY DAY"	1	0	""	1	1	0	0	0	0
12	"THREE TIMES A DAY"	3	0	""	3	1	0	0	0	0
13	"TAKE ONE TWICE DAILY"	2	1	""	2	1	0	0	0	0
14	"ONE DAILY"	1	1	""	1	1	0	0	0	0
15	"TAKE ONE 3 TIMES/DAY"	3	1	""	3	1	0	0	0	0
16	"ONE EVERY NIGHT"	1	1	""	1	1	0	0	0	0
17	"1 TWICE A DAY"	2	1	""	2	1	0	0	0	0
18	"1 DAILY"	1	1	""	1	1	0	0	0	0
19	"ONE AT NIGHT"	1	1	""	1	1	0	0	0	0
20	"1 THREE TIMES A DAY"	3	1	""	3	1	0	0	0	0
21	"ONE FOUR TIMES A DAY"	4	1	""	4	1	0	0	0	0
22	"1 EVERY MORNING"	1	1	""	1	1	0	0	0	0
23	"TAKE ONE ONCE DAILY"	1	1	""	1	1	0	0	0	0
24	"WHEN REQUIRED"	0	0	""	0	0	2	0	0	0
25	"TWO EVERY DAY"	2	2	""	1	1	0	0	0	0
26	"FOUR TIMES A DAY"	4	0	""	4	1	0	0	0	0
27	"ONE IN THE MORNING"	1	1	""	1	1	0	0	0	0
28	"TWO TWICE A DAY"	4	2	""	2	1	0	0	0	0
29	"TAKE 1 OR 2 4 TIMES/DAY"	6	1.5	""	4	1	1	2	0	0
30	"INHALE 2 DOSES AS NEEDED"	0	0	""	0	0	2	0	0	0
31	"APPLY TWICE DAILY"	2	0	""	2	1	0	0	0	0
32	"TAKE ONE AS DIRECTED"	0	1	""	1	0	0	0	0	0
33	"TWO FOUR TIMES A DAY WHEN REQUIRED"	8	2	""	4	1	2	0	0	0
34	"1 EVERY NIGHT"	1	1	""	1	1	0	0	0	0
35	"USE AS DIRECTED"	0	0	""	0	0	0	0	0	0
36	"1 AT NIGHT"	1	1	""	1	1	0	0	0	0
37	"TAKE ONE 4 TIMES/DAY"	4	1	""	4	1	0	0	0	0
38	"INHALE 2 DOSES TWICE DAILY"	4	2	""	2	1	0	0	0	0
39	"ONE 5ML SPOONSFUL TO BE TAKEN THREE TIMES A DAY"	15	5	"ML"	3	1	0	0	0	0
40	"ONE OR TWO FOUR TIMES A DAY WHEN REQUIRED"	6	1.5	""	4	1	2	2	0	0
41	"TWO THREE TIMES A DAY"	6	2	""	3	1	0	0	0	0
42	"APPLY 3 TIMES/DAY"	3	0	""	3	1	0	0	0	0
43	"TWO EVERY NIGHT"	2	2	""	1	1	0	0	0	0
44	"APPLY AS NEEDED"	0	0	""	0	0	2	0	0	0
45	"TWO PUFF TWICE A DAY"	4	2	"PUFF"	2	1	0	0	0	0
46	"TWO FOUR TIMES A DAY"	8	2	""	4	1	0	0	0	0
47	"TAKE TWO DAILY"	2	2	""	1	1	0	0	0	0
48	"1 OD"	1	1	""	1	1	0	0	0	0
49	"1 IN THE MORNING"	1	1	""	1	1	0	0	0	0
50	"TAKE ONE TWICE A DAY"	2	1	""	2	1	0	0	0	0
51	"TWO WHEN REQUIRED"	0	2	""	1	0	2	0	0	0
52	"TWO AT NIGHT"	2	2	""	1	1	0	0	0	0
53	"1 TAB DAILY"	1	1	"TAB"	1	1	0	0	0	0
54	"1 FOUR TIMES A DAY"	4	1	""	4	1	0	0	0	0
55	"INHALE 1 DOSE TWICE DAILY"	2	1	""	2	1	0	0	0	0
56	"TWO EVERY MORNING"	2	2	""	1	1	0	0	0	0
57	"1 BD"	2	1	""	2	1	0	0	0	0
58	"APPLY AS DIRECTED"	0	0	""	0	0	0	0	0	0
59	"1X5ML SPOON 3 TIMES/DAY"	15	5	"ML"	3	1	0	0	0	0
60	"TAKE ONE WEEKLY"	0.1428571	1	""	1	7	0	0	0	0
61	"ONE WHEN REQUIRED"	0	1	""	1	0	2	0	0	0
62	"2 EVERY DAY"	2	2	""	1	1	0	0	0	0
63	"EVERY NIGHT"	1	0	""	1	1	0	0	0	0
64	"ONE 5ML SPOONSFUL TO BE TAKEN FOUR TIMES A DAY"	20	5	"ML"	4	1	0	0	0	0
65	"2 TWICE A DAY"	4	2	""	2	1	0	0	0	0
66	"EVERY MORNING"	1	0	""	1	1	0	0	0	0
67	"APPLY DAILY"	1	0	""	1	1	0	0	0	0
68	"APPLY TWICE A DAY"	2	0	""	2	1	0	0	0	0
69	"TWO PUFF FOUR TIMES A DAY"	8	2	"PUFF"	4	1	0	0	0	0
70	"USE AS NEEDED"	0	0	""	0	0	2	0	0	0
71	"TWO DAILY"	2	2	""	1	1	0	0	0	0
72	"1OD"	1	1	""	1	1	0	0	0	0
73	"2 DAILY"	2	2	""	1	1	0	0	0	0
74	"ONE THREE TIMES A DAY WHEN REQUIRED"	3	1	""	3	1	2	0	0	0
75	"IMMEDIATELY"	0	0	""	0	1	0	0	0	1
76	"AT NIGHT"	1	0	""	1	1	0	0	0	0
77	"1 TAB IN THE MORNING"	1	1	"TAB"	1	1	0	0	0	0
78	"2 FOUR TIMES A DAY WHEN REQUIRED"	8	2	""	4	1	2	0	0	0
79	"ONE DROP TWICE DAILY"	2	1	"DROPS"	2	1	0	0	0	0
80	"1-2 FOUR TIMES A DAY WHEN REQUIRED"	6	1.5	""	4	1	2	2	0	0
81	"TO BE APPLIED TWICE A DAY"	2	0	""	2	1	0	0	0	0
82	"TWO PUFF FOUR TIMES A DAY WHEN REQUIRED"	8	2	"PUFF"	4	1	2	0	0	0
83	"ONE DROP AS NEEDED"	0	1	"DROPS"	1	0	2	0	0	0
84	"THREE EVERY DAY"	3	3	""	1	1	0	0	0	0
85	"TWO THREE TIMES A DAY WHEN REQUIRED"	6	2	""	3	1	2	0	0	0
86	"2 PUFFS TWICE A DAY"	4	2	"PUFF"	2	1	0	0	0	0
87	"DAILY"	1	0	""	1	1	0	0	0	0
